feature,importance
Attribute1_A14,0.10464151514088224
Attribute2,0.07842523062530164
Attribute5,0.07368215869321575
Attribute3_A34,0.042740090404506194
Attribute6_A61,0.03784533596653345
Attribute13,0.026375018104328053
Attribute1_A11,0.024623965925195064
Attribute4_A41,0.023573748386008467
Attribute7_A74,0.01928630159644962
Attribute8,0.01701255553104929
Attribute14_A141,0.016408412998117267
Attribute10_A103,0.01599538455429574
Attribute12_A124,0.015615176040199732
Attribute4_A43,0.015272040417698012
Attribute7_A72,0.0143409203847863
Attribute14_A143,0.01361612546735051
Attribute12_A121,0.013508770950493638
Attribute9_A93,0.012710505526501222
Attribute6_A65,0.012190309288658309
Attribute19_A191,0.01150185036835756
Attribute15_A151,0.011119836614347876
Attribute17_A173,0.00844631694995114
Attribute7_A71,0.008130445059148774
Attribute6_A64,0.00780886842316177
Attribute4_A40,0.007722665565303033
Attribute17_A174,0.007569598437976315
Attribute9_A92,0.007555463501696065
Attribute3_A30,0.007224555065448661
Attribute11,0.006701318341926527
Attribute4_A49,0.005044696752353774
Attribute20_A201,0.004941204249766451
Attribute15_A153,0.0046350855749682516
Attribute7_A73,0.004527776231224563
Attribute18,0.004150890741785408
Attribute1_A13,0.0039023721354824385
Attribute3_A33,0.003717399384133751
Attribute3_A32,0.0034633479430238377
Attribute16,0.003175179920927621
Attribute15_A152,0.0030177590942483228
Attribute10_A101,0.002983294433145784
Attribute12_A122,0.0026837333345829384
Attribute1_A12,0.0026552723488421164
Attribute4_A42,0.002555332245990576
Attribute4_A46,0.0025052713318451433
Attribute7_A75,0.0021601014714367913
Attribute12_A123,0.0021181761563304467
Attribute6_A62,0.0019655091219989125
Attribute17_A172,0.0019536293393772218
Attribute9_A91,0.0019479515864026331
Attribute10_A102,0.0011225086505815835
Attribute3_A31,0.0010512574280786787
Attribute4_A45,0.0010237295802638983
Attribute14_A142,0.0006059134852068395
Attribute9_A94,0.0005191435896573241
Attribute6_A63,0.0001402332671161275
Attribute4_A410,0.0
Attribute17_A171,0.0
Attribute4_A48,0.0
Attribute19_A192,0.0
Attribute4_A44,0.0
Attribute20_A202,0.0
