Atributo,Demographic Parity Diff,Demographic Parity Ratio,Equalized Odds Diff,Equalized Odds Ratio
age_group,0.14723424412720976,0.7062462410860039,0.12445777325550259,0.6442131047152481
gender,0.10981767180925667,0.7789384528514963,0.09270378020077819,0.7993173847695391
