Model,ROC-AUC,PR-AUC,F1-Score,Optimal Threshold,Profit (Optimal),Interpretable
XGBoost (Optuna),0.8058333333333333,0.6327989038461923,0.6575342465753424,0.45000000000000007,-9500,Sim (SHAP)
TabPFN,0.8141666666666667,0.6683282375063485,0.5769230769230769,0.20000000000000004,-10200,Limitada
