Model,ROC-AUC,ROC-AUC Std,Precision,Recall,F1-Score
LogisticRegression,0.7879285714285713,0.016113718609856685,0.5368431691765025,0.72,0.6140589754574537
XGBoost,0.7862142857142858,0.017558518938156176,0.5599754406471282,0.5900000000000001,0.5730456671721599
LightGBM,0.7772619047619047,0.014065968645027703,0.5449749972386275,0.6266666666666667,0.581487273786317
