Model,ROC-AUC (Test),F1-Score (Test),Best CV Score
Logistic Regression (Baseline),0.8058333333333333,0.6575342465753424,0.7879285714285713
XGBoost (GridSearch),0.7617857142857143,0.556390977443609,0.7859747023809524
LightGBM (GridSearch),0.7617857142857143,0.5755395683453237,0.7918154761904761
